iter	Passed	Remaining
0	1	115
1	1	96
2	2	88
3	3	78
4	4	76
5	4	74
6	5	72
7	6	70
8	6	69
9	7	68
10	8	67
11	9	66
12	9	66
13	10	66
14	11	66
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	23	53
30	23	52
31	24	52
32	25	51
33	26	51
34	27	50
35	28	49
36	28	49
37	29	48
38	31	48
39	31	47
40	32	47
41	32	45
42	33	44
43	34	43
44	35	42
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	40	36
52	40	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	75	0
