iter	Passed	Remaining
0	140	140428
1	144	71859
2	147	48915
3	150	37386
4	153	30556
5	156	25948
6	159	22656
7	162	20157
8	165	18272
9	169	16741
10	172	15509
11	175	14477
12	178	13579
13	182	12838
14	185	12169
15	188	11564
16	191	11052
17	194	10626
18	198	10241
19	201	9882
20	204	9535
21	207	9225
22	210	8955
23	213	8698
24	217	8472
25	220	8245
26	222	8030
27	225	7831
28	228	7646
29	231	7477
30	234	7315
31	237	7172
32	240	7037
33	243	6909
34	246	6788
35	248	6666
36	251	6554
37	254	6447
38	257	6343
39	260	6247
40	263	6165
41	266	6075
42	269	5992
43	271	5902
44	274	5829
45	277	5763
46	280	5684
47	283	5614
48	285	5539
49	288	5477
50	291	5420
51	293	5354
52	295	5282
53	298	5230
54	300	5164
55	303	5118
56	306	5068
57	308	5005
58	310	4953
59	312	4902
60	314	4848
61	317	4806
62	320	4765
63	322	4717
64	324	4672
65	327	4632
66	329	4589
67	331	4548
68	334	4508
69	336	4466
70	338	4425
71	340	4387
72	342	4346
73	344	4308
74	346	4269
75	348	4233
76	350	4197
77	352	4162
78	353	4126
79	355	4091
80	357	4058
81	359	4024
82	360	3982
83	362	3950
84	364	3918
85	365	3887
86	367	3857
87	369	3829
88	371	3798
89	372	3769
90	374	3740
91	376	3712
92	377	3685
93	379	3656
94	381	3630
95	382	3603
96	384	3580
97	386	3557
98	388	3532
99	389	3509
100	391	3486
101	393	3464
102	395	3443
103	397	3420
104	398	3399
105	400	3378
106	402	3358
107	404	3339
108	405	3318
109	407	3298
110	409	3278
111	411	3258
112	412	3239
113	414	3222
114	416	3205
115	418	3188
116	419	3167
117	421	3151
118	423	3134
119	425	3120
120	427	3106
121	429	3090
122	431	3076
123	433	3061
124	435	3046
125	437	3032
126	438	3015
127	440	2998
128	442	2986
129	444	2972
130	445	2958
131	447	2945
132	449	2931
133	451	2917
134	453	2904
135	455	2893
136	457	2882
137	459	2870
138	461	2858
139	463	2846
140	465	2834
141	466	2818
142	468	2807
143	470	2796
144	472	2784
145	474	2773
146	475	2761
147	477	2749
148	479	2738
149	481	2726
150	482	2715
151	484	2704
152	486	2693
153	488	2682
154	489	2670
155	491	2660
156	493	2650
157	495	2639
158	497	2630
159	498	2619
160	500	2605
161	501	2595
162	503	2584
163	504	2574
164	506	2563
165	508	2554
166	510	2545
167	511	2535
168	513	2524
169	515	2515
170	517	2507
171	518	2497
172	520	2489
173	522	2480
174	524	2471
175	526	2462
176	527	2454
177	529	2445
178	531	2437
179	533	2428
180	534	2420
181	536	2411
182	538	2403
183	539	2394
184	541	2386
185	543	2378
186	545	2369
187	546	2362
188	548	2354
189	550	2345
190	552	2340
191	554	2332
192	556	2325
193	557	2317
194	559	2311
195	561	2303
196	563	2296
197	564	2288
198	566	2280
199	568	2274
200	570	2268
201	572	2261
202	574	2254
203	576	2247
204	577	2241
